2020-07-02 12:28:10.588678 | EnGenius1 4.44
2020-07-02 12:28:10.591747 | DoorRouter 2.23
2020-07-02 12:28:10.595659 | JetPack 3.24
2020-07-02 12:28:15.602371 | McWilliams 0.69
2020-07-02 12:28:15.606274 | EnGenius2 3.13
2020-07-02 12:28:15.608855 | EnGenius1 1.78
2020-07-02 12:28:15.611644 | DoorRouter 2.09
2020-07-02 12:28:15.616247 | JetPack 3.94
2020-07-02 12:28:20.624533 | McWilliams 1.93
2020-07-02 12:28:20.626662 | EnGenius2 1.34
2020-07-02 12:28:20.632627 | EnGenius1 5.13
2020-07-02 12:28:20.637327 | DoorRouter 3.91
2020-07-02 12:28:20.676750 | JetPack 38.65
2020-07-02 12:28:25.683908 | McWilliams 0.9
2020-07-02 12:28:25.685480 | EnGenius2 0.72
2020-07-02 12:28:25.689230 | EnGenius1 2.98
2020-07-02 12:28:25.692101 | DoorRouter 2.11
2020-07-02 12:28:25.696481 | JetPack 3.47
2020-07-02 12:28:30.703520 | McWilliams 0.92
2020-07-02 12:28:30.705370 | EnGenius2 0.98
2020-07-02 12:28:30.708075 | EnGenius1 1.87
2020-07-02 12:28:30.712691 | DoorRouter 3.81
2020-07-02 12:28:30.716891 | JetPack 3.52
2020-07-02 12:28:35.725537 | McWilliams 2.53
2020-07-02 12:28:35.727113 | EnGenius2 0.8
2020-07-02 12:28:35.729965 | EnGenius1 2.02
2020-07-02 12:28:35.734740 | DoorRouter 3.99
2020-07-02 12:28:35.739377 | JetPack 3.89
2020-07-02 12:28:40.741909 | McWilliams 0.59
2020-07-02 12:28:40.743209 | EnGenius2 0.73
2020-07-02 12:28:40.745917 | EnGenius1 2.04
2020-07-02 12:28:40.749287 | DoorRouter 2.56
2020-07-02 12:28:40.753817 | JetPack 3.76
2020-07-02 12:28:45.757738 | McWilliams 0.54
2020-07-02 12:28:45.759095 | EnGenius2 0.72
2020-07-02 12:28:45.762222 | EnGenius1 2.32
2020-07-02 12:28:45.765247 | DoorRouter 2.2
2020-07-02 12:28:45.770092 | JetPack 4.08
2020-07-03 21:11:57.707575 | McWilliams 0.24
2020-07-03 21:11:59.710456 | EnGenius2 2000
2020-07-03 21:12:01.713520 | EnGenius1 2000
2020-07-03 21:12:03.716635 | DoorRouter 2000
2020-07-03 21:12:03.723295 | JetPack 5.85
2020-07-03 21:12:08.729689 | McWilliams 0.18
2020-07-03 21:12:10.731888 | EnGenius2 2000
2020-07-03 21:13:18.544777 | McWilliams 0.25
2020-07-03 21:13:18.551939 | EnGenius2 6.56
2020-07-03 21:13:18.567159 | EnGenius1 14.49
2020-07-03 21:13:18.583995 | DoorRouter 16.0
2020-07-03 21:13:18.589283 | JetPack 4.56
2020-07-03 21:13:23.595870 | McWilliams 0.34
2020-07-03 21:13:23.597159 | EnGenius2 0.48
2020-07-03 21:13:23.600068 | EnGenius1 2.13
2020-07-03 21:13:23.603203 | DoorRouter 2.35
2020-07-03 21:13:23.608403 | JetPack 4.3
2020-07-03 21:13:28.614842 | McWilliams 0.33
2020-07-03 21:13:28.615664 | EnGenius2 0.35
2020-07-03 21:13:28.618863 | EnGenius1 2.61
2020-07-03 21:13:28.626983 | DoorRouter 7.35
2020-07-03 21:13:28.631812 | JetPack 4.01
2020-07-03 21:13:33.638279 | McWilliams 0.33
2020-07-03 21:13:33.639282 | EnGenius2 0.41
2020-07-03 21:13:33.644846 | EnGenius1 4.72
2020-07-03 21:13:33.648060 | DoorRouter 2.43
2020-07-03 21:13:33.651976 | JetPack 3.25
2020-07-03 21:13:38.658397 | McWilliams 0.32
2020-07-03 21:13:38.659249 | EnGenius2 0.37
2020-07-03 21:13:38.662176 | EnGenius1 2.26
2020-07-03 21:13:38.665777 | DoorRouter 2.82
2020-07-03 21:13:38.674970 | JetPack 8.37
2020-07-03 21:13:43.676866 | McWilliams 0.35
2020-07-03 21:13:43.677821 | EnGenius2 0.36
2020-07-03 21:13:43.681044 | EnGenius1 2.63
2020-07-03 21:13:43.688997 | DoorRouter 7.2
2020-07-03 21:13:43.694295 | JetPack 4.56
2020-07-03 21:13:48.700747 | McWilliams 0.32
2020-07-03 21:13:48.701690 | EnGenius2 0.41
2020-07-03 21:13:48.705037 | EnGenius1 2.68
2020-07-03 21:13:48.708015 | DoorRouter 2.16
2020-07-03 21:13:48.714282 | JetPack 5.52
2020-07-03 21:13:53.720562 | McWilliams 0.18
2020-07-03 21:13:53.721365 | EnGenius2 0.3
2020-07-03 21:13:53.725104 | EnGenius1 3.11
2020-07-03 21:13:53.734983 | DoorRouter 9.08
2020-07-03 21:13:53.742543 | JetPack 6.68
2020-07-03 21:13:58.749088 | McWilliams 0.34
2020-07-03 21:13:58.750026 | EnGenius2 0.38
2020-07-03 21:13:58.755561 | EnGenius1 4.85
2020-07-03 21:13:58.760515 | DoorRouter 4.17
2020-07-03 21:13:58.763965 | JetPack 2.77
